46, Nb1Re1Si1, 4.07126450479694
186, Pd1Sn1U1, 4.050915604813337
46, Re1Si1Ta1, 3.9204932633458056
159, O1Ti6, 3.7315033325930034
44, Ge1Pt1U1, 3.6680503695678923
213, C1Al2Mo3, 3.501902075183265
149, O1Ti3, 2.844026190104733
25, Si1Ti1, 2.817688778191813
146, Bi3Pd8, 2.726607490479877
183, Ta21Te13, 2.635096479391947
38, Re2Sc1Si3, 2.633164788747592
38, Re8Sc5Si12, 2.6211258333053915
180, Ge2Nb1, 2.6164822917000836
5, Ge1Pd5, 2.614319807851547
5, Re2Sc3Si3, 2.557921317236732
36, Bi1Pd1, 2.5518578073669542
4, Bi1Pd1, 2.5518578073669542
180, Si2W1, 2.515684945400602
161, Pd8Sb3, 2.315302692757728
146, Pd8Sb3, 2.315302692757728
36, Bi1Pb1Pd2, 2.290497360424807
185, Pd5Sb2, 2.285731053829896
5, Pb3Pd5, 2.2559294626665127
92, Ge4Zr5, 2.24842650178844
36, Pd2Sb1, 2.177301711100417
92, Si4Zr5, 2.1222878667344633
157, Bi2Pt1, 2.1185809714424217
198, Hg1Pd1, 2.1182016265605808
26, Mo1Pt2Si3, 2.105244255528253
152, Ag1Pb4Pd6, 2.1013599259898466
5, Al17Mo4, 2.0357797185718396
5, As1Pd5, 2.032081833711827
44, Ge1Pd1Y1, 2.016260915739364
44, Ge1Lu1Pd1, 2.016254393967795
43, Al22Mo5, 2.0070730525408442
146, Ga4Pd7Zn3, 1.9699596995690416
143, Al5Mo1, 1.9065997214358066
92, Hf5Si4, 1.8452016990064695
180, B1La1Pt2, 1.8320631145757322
43, Ca2Ge1Pd2, 1.7718387919203127
180, Hf1Sn2, 1.7400338527178376
44, Na1Pd3Si2, 1.6771562137808602
109, As1Nb1, 1.6758178671275785
80, As1Nb1, 1.6758178671275785
109, Nb1P1, 1.67556155955412
102, Al2Y3, 1.6657913011891536
92, La5Si4, 1.6521588057091843
36, Sc9Te2, 1.578611893349899
107, Pd1Sn3Sr1, 1.5206542736038728
107, Ba1Pd1Sn3, 1.505522215555931
186, Ag1Ge1La1, 1.470353903388831
109, Al1Ge1La1, 1.4680505980231007
198, Mg1Pt1, 1.452342848612099
109, As1Ta1, 1.4496610049540855
109, P1Ta1, 1.4494046973797157
4, Ca1Ge2Pt2, 1.4083433248397053
107, Ge3Pd1Sr1, 1.3807255731170636
91, C1B1Th1, 1.3510134980282689
36, Ge6La4Mg5, 1.3356542507990095
107, Ba1Pt1Sn3, 1.3224459745731916
36, Ge6Y4Zn5, 1.2986839098351912
36, Ge6Lu4Zn5, 1.2986786924186808
36, Au2Ga1, 1.2366563753678208
107, Ge3Pt1Sr1, 1.1976493321341004
107, Ba1Pd1Si3, 1.1953063577448257
44, Au1Ca1Sn1, 1.194046347238071
107, Ba1Ge3Pt1, 1.1825172740856291
43, In1Sr1, 1.1472939621339964
1, Ca8In3, 1.0863669948584085
107, Ca1Pt1Si3, 1.0347476456600169
96, Ba3Sn2, 1.022145464981557
102, Ca3Cd2, 1.0130957334290875
107, Ba1Pt1Si3, 1.0122301167618875
146, Mg9Sn5, 1.0101305079638077
96, Ge1, 1.0043832960145926
186, Ca1Ge2, 0.9999549378673556
107, P2U1, 0.999909193157952
25, In1Sb1, 0.999853984903321
146, In1Mg3, 0.9979241081800461
92, Ca1, 0.9910982215748176
43, Pd1S4U2, 0.9435673160040223
160, C6Al4Zr3, 0.9291189840787761
25, Ag3Sb1, 0.9217599714048794
96, B6Be1, 0.8926568414984035
186, P3Sc7, 0.8856664827056613
107, Ca2Sb1, 0.8804957853394568
108, Si3Sr5, 0.8665710547567245
185, B9Li1, 0.8490283764988358
33, Au1Sb1Tl1, 0.8363439227558351
186, Al1Sb1, 0.8308153271796139
160, C5Al4Zr2, 0.828350147451649
31, Te2W1, 0.8269749348034039
213, Si2Sr1, 0.798437867202368
44, B1Be1Li1, 0.7644250598086368
156, B1Be1Li1, 0.7644250598086368
44, Au1Ge1Na1, 0.7235665123569119
160, Li5Na1Sn4, 0.7210948128420696
186, Si1, 0.7205713671399123
186, Li1Sb1Zn1, 0.7177151863431583
199, Pb2Pd3S2, 0.7011921296650576
186, Ge8Li7Rb1, 0.6792380170716084
186, C3Al3Sc1, 0.6440446344422734
196, Li22Sn5, 0.6280665691434684
196, Li22Pb5, 0.6066534061651097
196, Ge5Li22, 0.5848786986240895
26, In11Mo40O62, 0.5577443930920949
44, Ag8S1, 0.555749148049991
186, Al1Ca3Na3Sb4, 0.5501288828064177
5, As2Mo1, 0.4832701745091792
36, Mo1P2, 0.4829284310775903
1, Cs5K3Pb18, 0.4665714017621716
160, C3Al4, 0.4540658971262874
107, C1Ba1Si1, 0.44070534962355223
186, C4Al4Si1, 0.4024518612964614
76, Cs4Ge9, 0.38768948837152584
36, P2W1, 0.3755992579983043
20, In1Na2, 0.3220544974763455
186, K1Sb1Sn1, 0.29171995194532974
5, As2Nb1, 0.28753039514656065
20, Ag1Bi1K2, 0.2833001135956139
31, Ge16Rb14Zn1, 0.2825237526011235
156, C1Si1, 0.22180273588960686
186, C1Si1, 0.22180273588960686
159, Br3Cl4Cs1Mo3, 0.21391861869939843
26, Cd1K2Sb2Sr1, 0.21256449775955177
26, Ba1Cd1K2Sb2, 0.1999544493865728
160, Mo1Se2, 0.19923608945760973
20, Bi2K4Zn1, 0.17888849929966444
26, Ca1P1Pt1, 0.17415565430242586
186, C3Al5N1, 0.14533979079230885
5, As2Ta1, 0.13675915369771152
159, Br3Cl4Cs1W3, 0.1261038407244235
